"","pitch_type","release_speed","pitcher","description","balls","strikes","plate_x","plate_z","home_score","away_score"
"7844","SL",83.3,543056,"ball",0,0,0.5013,3.5175,1,4
"7845","FF",94.6,520980,"ball",0,1,-0.4134,4.1681,5,1
"7846","FT",92.9,518693,"ball",0,0,-0.2621,1.3776,11,5
"7848","SL",87.7,520980,"called_strike",0,0,-0.3996,1.5921,5,1
"7849","CU",83.9,643493,"ball",1,1,0.5127,1.3407,5,4
"7850","CH",86.2,473879,"called_strike",1,1,0.5029,1.6124,3,6
"7852","FF",90.3,596074,"called_strike",0,0,0.4754,2.1346,1,1
"7853","FS",86.6,489446,"ball",1,1,0.4917,0.4798,8,3
"7854","SI",90.6,595411,"ball",3,1,1.9251,2.0969,1,4
"7855","FT",94.6,446099,"ball",1,0,-1.0274,3.581,7,4
"7859","CU",77.3,607625,"called_strike",0,1,0.0712,2.8876,2,0
"7863","FF",95.9,446099,"ball",0,0,1.5524,2.8526,7,4
"7864","SL",89.3,643493,"called_strike",1,0,0.1492,1.5683,5,4
"7865","FF",92.4,518875,"called_strike",0,1,0.72,2.1673,11,5
"7866","FF",90.5,279571,"ball",2,1,1.3965,2.2404,11,2
"7867","SI",89.8,595411,"ball",2,1,-0.198,1.3037,1,4
"7868","FF",92,489446,"called_strike",1,0,-0.7929,1.8959,8,3
"7871","SI",90.4,595411,"ball",1,1,0.6031,1.1566,1,4
"7872","CH",85.2,473879,"ball",0,0,-1.2334,1.6918,3,6
"7873","FF",90.1,596074,"called_strike",0,1,-0.0015,2.9918,1,1
"7874","FF",90.5,489446,"ball",0,0,-0.2615,1.152,8,3
"7875","SL",87.8,643493,"ball",0,0,1.7755,1.2665,5,4
"7876","CU",74.8,607625,"called_strike",0,0,0.6106,2.8639,2,0
"7879","FF",96,520980,"ball",3,0,-0.4556,4.0723,4,1
"7880","FT",97,444468,"ball",0,1,-1.0151,1.5881,5,4
"7881","FF",92.5,518875,"called_strike",0,0,0.2905,2.2501,11,5
"7882","CU",74.7,279571,"ball",1,1,1.5343,-0.0773,11,2
"7883","FT",96,520980,"ball",2,0,-0.9736,2.7793,4,1
"7885","FF",91.4,518875,"called_strike",2,2,0.6644,1.7639,11,5
"7886","FF",96.2,444468,"called_strike",0,0,-0.2439,2.1501,5,4
"7887","SI",90.1,595411,"ball",0,1,0.8244,1.4032,1,4
"7890","CH",81.5,596074,"called_strike",0,0,0.7366,2.7839,1,1
"7895","SI",84.3,592222,"ball",0,0,1.2523,1.5577,1,4
"7896","FF",94.2,622608,"called_strike",2,0,-0.6657,1.5533,8,3
"7900","SI",90.1,595411,"called_strike",0,0,0.7113,1.8184,1,4
"7904","CU",72.3,279571,"ball",0,0,1.0431,1.4244,11,2
"7906","CU",82.5,643493,"ball",1,0,1.2102,0.9428,4,4
"7913","FF",96.3,622608,"ball",1,0,-0.4197,0.9373,8,3
"7918","FF",91.1,518875,"ball",1,1,0.3395,4.2027,11,5
"7919","FT",95.9,520980,"ball",0,0,-1.3739,2.7235,4,1
"7921","FF",89.9,518875,"called_strike",1,0,0.7589,2.5634,11,5
"7922","SL",84.5,596074,"ball",1,1,-1.2594,3.2477,1,1
"7923","FT",97,520980,"ball",3,1,0.1056,1.2753,3,1
"7924","FF",96.6,516969,"ball",0,2,-0.7273,4.1076,0,1
"7926","FF",91.2,644364,"called_strike",3,0,-0.358,1.9696,2,0
"7927","SL",84.1,444468,"ball",2,2,-1.6909,2.1619,5,4
"7929","FT",96.4,446099,"ball",1,1,2.1953,1.6425,7,4
"7930","FF",95.5,622608,"ball",0,0,-0.6169,1.3482,8,3
"7931","FF",90.3,279571,"ball",2,2,2.0094,1.2381,11,2
"7933","FF",94.6,444468,"ball",1,2,-2.4709,3.6345,5,4
"7935","FT",96.3,446099,"called_strike",1,0,-0.1028,3.2161,7,4
"7940","SL",80.8,518875,"ball",0,0,1.0401,1.2469,11,5
"7942","FF",96.4,520980,"ball",2,1,-1.8074,3.3444,3,1
"7943","CH",70.2,592222,"ball",1,2,-0.6111,0.6204,1,4
"7944","FF",90.9,644364,"ball",2,0,1.0638,1.4878,2,0
"7945","CU",83.3,643493,"ball",0,2,0.4092,0.0379,4,4
"7946","SL",94.8,446099,"ball",0,0,0.812,1.0129,7,4
"7948","SL",83.5,444468,"ball",0,2,2.088,-0.8341,5,4
"7949","SL",81.5,644364,"ball",1,0,0.1754,1.2124,2,0
"7950","FF",88.3,279571,"ball",1,1,-0.3333,3.5313,11,2
"7951","SI",83.9,592222,"ball",0,2,-1.2327,1.8517,1,4
"7952","FF",88.1,543883,"ball",0,0,-1.4588,3.1697,3,6
"7955","SI",89.8,595411,"called_strike",3,0,0.5855,2.4244,1,4
"7957","CH",81.5,596074,"ball",0,0,-0.7947,1.7201,1,1
"7959","SI",89.8,595411,"ball",2,0,1.0976,2.2755,1,4
"7960","FF",94.6,622608,"ball",3,2,1.4515,1.488,5,3
"7961","SL",74.8,592222,"called_strike",0,1,0.9358,1.5339,1,4
"7962","FF",92.9,643493,"called_strike",0,0,0.6803,2.6215,4,4
"7963","FF",95.2,446099,"ball",3,0,0.8949,1.8437,7,4
"7965","SL",78.9,644364,"ball",0,0,-0.5717,1.2871,2,0
"7966","SL",83.9,444468,"called_strike",0,1,-0.8495,2.5719,5,4
"7967","FT",96.8,520980,"ball",0,1,-1.5022,3.479,3,1
"7974","SL",72.3,592222,"called_strike",0,0,-0.0813,1.9008,1,4
"7975","SI",89.3,595411,"ball",1,0,-0.6363,0.467,1,4
"7978","FF",91.9,518875,"called_strike",2,0,0.7438,1.9229,11,5
"7982","FF",88.2,279571,"ball",0,0,0.9882,1.5262,11,2
"7984","FT",96.5,446099,"ball",2,0,0.0915,3.4222,7,4
"7985","SL",83.6,595411,"ball",0,0,0.5491,1.0669,1,4
"7986","FT",95.8,446099,"ball",1,0,-0.9779,3.7233,7,4
"7987","FF",95.4,571710,"called_strike",1,2,-0.5724,1.873,5,4
"7988","SL",79.4,644364,"ball",1,2,0.6983,1.2956,2,0
"7989","SI",92.3,518397,"ball",3,2,-1.31,2.6891,2,1
"7991","FT",96,516969,"ball",0,0,-2.0428,3.1445,0,1
"7992","SL",81.7,518875,"ball",1,0,1.0869,1.4886,11,5
"7994","FF",95.4,622608,"ball",2,2,1.627,2.2278,5,3
"7998","SL",80.2,644364,"called_strike",1,1,-0.6472,1.4244,2,0
"7999","FF",94.6,592454,"ball",0,1,-1.5061,2.2103,4,4
"8002","SI",91.8,594835,"ball",0,2,-1.4006,2.316,1,6
"8003","FT",96.9,446099,"ball",0,0,1.2489,0.6168,7,4
"8006","FF",93.8,571710,"ball",0,2,1.5661,2.8556,5,4
"8008","SL",87.8,570632,"ball",1,1,1.2353,1.3944,1,1
"8009","FT",93.9,462382,"ball",1,2,-0.4891,1.159,11,2
"8010","FF",92,518875,"ball",0,0,1.1239,1.6583,11,5
"8015","SL",80.6,644364,"ball",0,1,-0.5069,1.0614,2,0
"8017","FC",91.8,606930,"ball",1,0,0.9114,1.2109,1,4
"8019","FT",96.8,570632,"called_strike",1,0,0.7327,2.1537,1,1
"8020","SI",91.4,594835,"called_strike",0,1,-0.7778,1.785,1,6
"8022","SI",84.2,592222,"called_strike",0,1,-0.3918,1.9347,1,4
"8024","FT",90.6,644364,"called_strike",0,0,-1.3292,1.9565,2,0
"8026","FF",97.1,571710,"called_strike",0,1,0.7689,2.6626,5,4
"8028","CH",84.1,594835,"called_strike",0,0,0.535,1.9643,1,6
"8029","FT",96.4,570632,"ball",0,0,1.4699,3.2893,1,1
"8031","SI",84.1,592222,"called_strike",0,0,0.2156,2.3317,1,4
"8032","FT",92.2,462382,"called_strike",1,0,0.7077,1.878,11,2
"8033","FC",91.7,606930,"ball",0,0,1.1939,0.961,1,4
"8034","SI",93.9,518397,"ball",1,2,-1.0689,1.8916,2,1
"8038","FT",92.4,462382,"ball",0,0,1.1481,1.4934,11,2
"8039","SL",86.6,571710,"called_strike",0,0,0.3512,2.7097,5,4
"8040","FF",94.1,606930,"ball",3,0,0.206,1.0844,1,4
"8041","FT",95.5,516969,"ball",0,0,-1.7206,2.1911,0,1
"8044","CH",80.2,502327,"ball",0,1,1.5509,2.477,7,4
"8049","FF",92.5,622608,"ball",1,0,1.3164,2.3932,5,3
"8051","FF",93.7,622608,"ball",0,0,1.2664,2.8033,5,3
"8052","FF",95.3,641438,"ball",1,0,-1.0002,3.2591,11,5
"8053","SL",81.1,592454,"ball",2,2,1.8819,0.0754,4,4
